email,should_match
Dorian.Butler@GDS.gov.uk,True
Carl;Stevens@ons.gov.uk,False
Libbie.Giles@ons.gov.uk,True
Stella.@ons.gov.uk,False
Jawad.Boyle@2MOD.gov.uk,False
Brandon.Klein@moj.gov.uk,True
.Monique.Bender@dcms.gov.uk,False
Hana..Fellows@ons.gov.uk,False
Faraz.Cardenas@HMT.gov.uk,True
Will.Rosales@gmail.com,False
Alyssa.Smith@dwp.gov.uk,True
Jannat.Parra@ons.org,False
Ritik.Blankenship@ofcom.co.uk,False
Fiona.Kirkland@abc.gov.uk,True
Safiyyah.Moran@123.gov.uk,False
Marie.KellerATons.gov.uk,False
Ishaan.Whitaker@cma.gov.uk,True
Marcos.Rosa@ofqual.gov.uk,True
Coby.Wade@.gov.uk,False
Bruno.Daugherty@dft.gov.uk,True
Ursula.Holding@dit.gov.gov.uk,False
